File name;Tag
2pac-trapped;aggressive
ac_dc-dirty_deeds_done_dirt_cheap;aggressive
animals-im_crying;aggressive
aphex_twin-come_to_daddy;aggressive
bomb_the_bass-bug_powder_dust;aggressive
cheap_trick-dream_police;aggressive
hybris-hate;aggressive
skitzo-last_depression;aggressive
soulprint-crawlspace;aggressive
van_halen-aint_talkin_bout_love;aggressive
2pac-trapped;angry
ac_dc-dirty_deeds_done_dirt_cheap;angry
aphex_twin-come_to_daddy;angry
bomb_the_bass-bug_powder_dust;angry
boogie_down_productions-the_bridge_is_over;angry
hybris-hate;angry
ivilion-d_b_l;angry
led_zeppelin-immigrant_song;angry
skitzo-last_depression;angry
soulprint-crawlspace;angry
spinecar-stay;angry
strawbs-new_world;angry
2pac-trapped;arousing
ac_dc-dirty_deeds_done_dirt_cheap;arousing
aerosmith-dude_looks_like_a_lady;arousing
andrews_sisters-boogie_woogie_bugle_boy;arousing
animals-im_crying;arousing
barry_white-cant_get_enough_of_your_love_babe;arousing
bay_city_rollers-saturday_night;arousing
bee_gees-stayin_alive;arousing
bo_diddley-you_cant_judge_a_book_by_its_cover;arousing
bomb_the_bass-bug_powder_dust;arousing
boogie_down_productions-the_bridge_is_over;arousing
boston-more_than_a_feeling;arousing
britney_spears-im_a_slave_for_you;arousing
contours-do_you_love_me;arousing
erasure-chains_of_love;arousing
franz_ferdinand-come_on_home;arousing
gloria_gaynor-i_will_survive;arousing
jamiroquai-little_l;arousing
led_zeppelin-immigrant_song;arousing
madonna-ray_of_light;arousing
police-every_little_thing_she_does_is_magic;arousing
propellerheads-take_california;arousing
skitzo-last_depression;arousing
solace-laz_7_8;arousing
sonny_rollins-strode_rode;arousing
specials-gangsters;arousing
steppenwolf-born_to_be_wild;arousing
syreeta-what_love_has_joined_together;arousing
u2-hold_me_thrill_me_kiss_me_kill_me;arousing
urge_overkill-sister_havana;arousing
who-bargain;arousing
10cc-for_you_and_i;boring
a_tribe_called_quest-bonita_applebum;boring
aaron_neville-tell_it_like_it_is;boring
american_music_club-jesus_hands;boring
anita_baker-caught_up_in_the_rapture;boring
arlo_guthrie-alices_restaurant_massacree;boring
artemis-don_t_look_back;boring
b.b._king-sweet_little_angel;boring
barry_white-cant_get_enough_of_your_love_babe;boring
beautiful_south-one_last_love_song;boring
belle_and_sebastian-like_dylan_in_the_movies;boring
beth_quist-survival;boring
blood_sweat_and_tears-sometimes_in_winter;boring
burnshee_thornside-goodbye_on_a_beautiful_day;boring
